#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 67.400000 0.972741 0.292421 10.857971
 67.600000 0.735284 0.913547 2.335901
 67.800000 1.035457 0.024507 14.251905
 68.000000 1.097705 -1.244696 19.273184
 68.200000 1.047776 -1.916190 11.047209
 68.400000 0.809409 -2.188207 6.576388
 68.600000 1.112913 -2.648976 1.401734
 68.800000 0.912158 -2.989221 0.214957
 69.000000 1.058422 -2.510192 2.587295
 69.200000 0.936344 -2.045102 9.467675
 69.400000 0.854235 -1.079335 19.658883
 69.600000 0.990821 -0.102382 15.676921
 69.800000 0.993086 0.278873 11.013570
 70.000000 1.092882 -0.030315 14.657383
 70.200000 1.182005 -0.396939 18.004563
 70.400000 1.087980 -1.119006 20.754178
 70.600000 0.800268 -1.440957 16.404397
 70.800000 1.164392 -1.662055 14.315928
 71.000000 0.979313 -1.262490 19.568652
 71.200000 1.058659 -0.595104 19.977772
 71.400000 0.652633 0.300001 9.941752
 71.600000 0.883739 0.573167 6.799575
 71.800000 0.970820 0.506536 7.772743
 72.000000 0.849274 0.337989 10.497776
 72.200000 0.936033 -0.298937 17.877925
 72.400000 0.820704 -0.987047 19.740068
 72.600000 1.017423 -1.593742 16.099515
 72.800000 1.109271 -1.778226 13.199660
 73.000000 1.109716 -1.429453 18.121775
 73.200000 1.102993 -1.188578 21.145644
 73.400000 1.205242 -0.465353 18.390422
 73.600000 0.815128 0.564750 7.491445
 73.800000 1.169513 0.946677 1.897440
 74.000000 0.860438 0.457931 9.334740
 74.200000 1.020829 -0.826794 21.315482
 74.400000 0.992879 -1.878112 12.199503
 74.600000 1.209578 -2.385682 4.663139
 74.800000 1.108333 2.974712 0.084715
 75.000000 1.109668 3.014647 0.111820
 75.200000 0.992791 -2.024560 9.959271
 75.400000 1.251659 -1.216555 19.756194
 75.600000 0.757620 0.256520 12.649386
 75.800000 0.562993 1.048681 1.411147
 76.000000 0.807747 0.197891 13.608648
 76.200000 1.179444 -1.215243 20.508326
 76.400000 0.959187 -2.337141 5.663324
 76.600000 1.128321 2.923485 1.209974
 76.800000 1.127743 -3.132411 1.375272
 77.000000 0.901252 -2.153629 7.991375
 77.200000 1.314671 -1.248419 18.631110
 77.400000 0.831865 0.220786 14.122487
 77.600000 0.930041 0.884936 3.303023
 77.800000 0.892987 0.659311 6.897041
 78.000000 1.103188 -0.325352 18.301817
 78.200000 1.056505 -1.263885 20.691469
 78.400000 0.986685 -2.076494 9.997739
 78.600000 0.960809 -2.805853 1.998618
 78.800000 0.859973 -2.989108 1.415632
 79.000000 1.093012 -2.315696 6.518800
 79.200000 0.643466 -1.683551 12.804978
 79.400000 1.189881 -1.122877 21.046091
 79.600000 1.184687 -0.255863 17.819072
 79.800000 0.953941 0.351512 12.463284
