#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 69.000000 -2.821039 -2.852051 6.001848
 69.200000 -2.609072 2.617051 16.015618
 69.400000 -1.943835 1.595845 8.736175
 69.600000 -1.076324 1.106536 11.873035
 69.800000 -1.497845 0.806020 11.855413
 70.000000 -1.443604 -0.015524 4.349075
 70.200000 -1.299068 -0.356221 2.697582
 70.400000 -1.300382 -0.014678 5.300888
 70.600000 -1.261530 1.172647 13.690003
 70.800000 -1.357608 1.564099 12.164053
 71.000000 -1.266948 1.868816 10.045870
 71.200000 -1.316701 2.009247 10.455815
 71.400000 -1.168284 2.575890 6.021348
 71.600000 -1.771440 2.812748 9.996413
 71.800000 -2.170597 2.587012 15.245404
 72.000000 -2.545005 2.280943 11.735069
 72.200000 -2.545945 2.458644 15.093535
 72.400000 -2.198182 2.501374 15.338064
 72.600000 -2.080314 2.435268 14.182985
 72.800000 -2.230285 2.514369 15.604587
 73.000000 -2.438646 2.814102 17.446258
 73.200000 -2.861489 2.569905 13.719341
 73.400000 -2.286506 2.950063 16.108362
 73.600000 -2.777320 2.818976 16.180751
 73.800000 -2.893013 2.456043 11.960993
 74.000000 -2.276948 2.875641 16.749630
 74.200000 -1.404983 2.661596 7.420408
 74.400000 -1.230805 2.340096 8.379135
 74.600000 -1.514703 2.127781 10.986089
 74.800000 -1.394848 2.533578 8.354372
 75.000000 -1.170908 2.791347 4.300945
 75.200000 -1.785206 2.564583 12.604695
 75.400000 -1.334688 2.580355 8.241777
 75.600000 -1.156871 2.569063 6.895831
 75.800000 -1.840579 2.288212 12.533016
 76.000000 -2.265874 2.028722 9.874660
 76.200000 -2.653017 1.988525 7.725636
 76.400000 -2.486494 2.460528 16.293790
 76.600000 -2.429898 2.972806 17.366811
 76.800000 -2.861438 3.123242 12.799253
 77.000000 -2.421871 -2.794131 6.188021
 77.200000 -2.702789 2.972027 16.825511
 77.400000 -2.761648 2.825660 16.910669
 77.600000 -2.531959 2.290926 13.503581
 77.800000 -2.599965 1.949164 7.546984
 78.000000 -2.444903 1.983826 9.077073
 78.200000 -2.629665 2.129163 10.800736
 78.400000 -2.397855 2.702969 18.698059
 78.600000 -2.890653 3.030538 13.958464
 78.800000 -2.403921 -2.767106 6.494799
 79.000000 -2.755187 -2.912837 9.417376
 79.200000 -2.640629 3.094075 16.217362
 79.400000 -2.755178 2.461526 14.476142
 79.600000 -2.324502 1.982844 10.520537
 79.800000 -2.222269 1.403723 6.531534
 80.000000 -2.103861 1.011592 8.085874
 80.200000 -1.688625 0.351355 6.524951
 80.400000 -0.933096 -0.130824 3.722661
 80.600000 -1.291377 0.550501 8.228110
 80.800000 -1.297114 1.003772 13.651850
 81.000000 -1.485923 0.716166 11.039335
 81.200000 -1.348132 0.175598 6.264066
 81.400000 -1.206027 -0.225601 3.744870
 81.600000 -1.437599 0.037716 5.705573
 81.800000 -1.149744 0.641864 8.985214
 82.000000 -1.505448 0.811007 13.072298
 82.200000 -1.528331 0.495987 9.131975
 82.400000 -1.075897 -0.110742 4.350919
 82.600000 -1.292592 -0.003822 5.464954
 82.800000 -1.356910 0.527051 9.290842
 83.000000 -1.273921 1.229620 14.607872
 83.200000 -1.382960 1.748895 12.252541
 83.400000 -1.097484 2.103922 8.888550
 83.600000 -1.276069 2.743628 6.532531
 83.800000 -1.489027 2.909720 6.920861
 84.000000 -1.366276 2.486940 9.207942
 84.200000 -1.100129 1.931087 9.886829
 84.400000 -1.768666 1.507042 11.961180
